CustomerNumber,Email,SMSTelephone,FirstName,LastName,Salutation,JobPosition,JobLevel,Language,CompanyNumber,Company,CompanyRevenue,CompanyRevenueCluster,AgentName,AgentEmail,Country,State,Area,City,Division,Currency,NPSFormat,NPSType,NumberOrder,OrderValue,DateOrder,segment_a,segment_b,segment_c,segment_d,segment_e,FlightName,Net Promoter Score,Comment,SurveyCompletedDate,EmailSentDate,FollowUpRequired
49,customer049@nps-test.net,1366507205,John049,Smith049,Mr.,Director,C,EN,22,Sears Homelife,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,ACT,,ELABBIN,,AUD,Transactional,b2b,4579,44,2014-01-02 21:00:00,marketing,,,,,Flight 1,10,No comment,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
50,customer050@nps-test.net,1366507205,John050,Smith050,Ms.,Director,C,EN,20,Food Giant,0,B,Robert Wiiliams,Robert.Williams@nps-test.net,US,NT,,COOLJARLOO,,AUD,Transactional,b2b,4580,55,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,Wonderful $34 to john@nps-test.net,2014-01-13 17:07:00,2014-01-07 12:12:00,N
51,customer051@nps-test.net,1366507205,John051,Smith051,Ms.,Manager,A,EN,29,Handyman,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,QLD,,LITTLE BILLABONG,,USD,Transactional,b2b,4581,12,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
52,customer052@nps-test.net,1366507205,John052,Smith052,Ms.,VP,B,EN,35,Tweeter,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,VIC,,EUMEMMERRING,,USD,Transactional,b2b,4582,155,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
53,customer053@nps-test.net,1366507205,John053,Smith053,Mr.,Director,B,EN,11,Custom Sound,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,SA,,COOMBADJHA,,USD,Transactional,b2b,4583,144,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
54,customer054@nps-test.net,1366507205,John054,Smith054,Ms.,Manager,C,EN,14,Exact Solutions,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,WA,,BOORGANNA,,AUD,Transactional,b2b,4584,233,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,"To be or not to be, that is the question.",2014-01-13 17:07:00,2014-01-07 12:12:00,Y
55,customer055@nps-test.net,1366507205,John055,Smith055,Mr.,CFO,C,EN,21,Fireball,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,SA,,SURREY HILLS,,USD,Transactional,b2b,4585,49,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,Hello World!,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
56,customer056@nps-test.net,1366507205,John056,Smith056,Mr.,Director,C,EN,21,Fireball,0,B,Peggy Tillman,Peggy.Tillman@nps-test.net,US,NT,,GRAHAMS CREEK,,AUD,Transactional,b2b,4586,23,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,It's a nice day,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
57,customer057@nps-test.net,1366507205,John057,Smith057,Mr.,MD,C,EN,28,Hoyden,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,QLD,,CAMDEN PARK,,USD,Transactional,b2b,4587,123,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,You will find my comment trés interesting - böøm,2014-01-13 17:07:00,2014-01-07 12:12:00,N
58,customer058@nps-test.net,1366507205,John058,Smith058,Ms.,MD,C,EN,14,Exact Solutions,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,CA,,HERSTON,,AUD,Transactional,b2b,4588,44,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,No comment,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
59,customer059@nps-test.net,1366507205,John059,Smith059,Mr.,Director,C,EN,22,Sears Homelife,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,ACT,,ELABBIN,,AUD,Transactional,b2b,4589,55,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,Wonderful $34 to john@nps-test.net,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
60,customer060@nps-test.net,1366507205,John060,Smith060,Ms.,Director,C,EN,20,Food Giant,0,B,Robert Wiiliams,Robert.Williams@nps-test.net,US,NT,,COOLJARLOO,,AUD,Transactional,b2b,4590,12,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,N
61,customer061@nps-test.net,1366507205,John061,Smith061,Ms.,Manager,A,EN,29,Handyman,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,QLD,,LITTLE BILLABONG,,USD,Transactional,b2b,4591,155,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
62,customer062@nps-test.net,1366507205,John062,Smith062,Ms.,VP,B,EN,35,Tweeter,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,VIC,,EUMEMMERRING,,USD,Transactional,b2b,4592,144,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
63,customer063@nps-test.net,1366507205,John063,Smith063,Mr.,Director,B,EN,11,Custom Sound,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,SA,,COOMBADJHA,,USD,Transactional,b2b,4593,233,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,"To be or not to be, that is the question.",2014-01-13 17:07:00,2014-01-07 12:12:00,Y
64,customer064@nps-test.net,1366507205,John064,Smith064,Ms.,Manager,C,EN,14,Exact Solutions,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,WA,,BOORGANNA,,AUD,Transactional,b2b,4594,49,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,Hello World!,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
65,customer065@nps-test.net,1366507205,John065,Smith065,Mr.,CFO,C,EN,21,Fireball,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,SA,,SURREY HILLS,,USD,Transactional,b2b,4595,23,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,It's a nice day,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
66,customer066@nps-test.net,1366507205,John066,Smith066,Mr.,Director,C,EN,21,Fireball,0,B,Peggy Tillman,Peggy.Tillman@nps-test.net,US,NT,,GRAHAMS CREEK,,AUD,Transactional,b2b,4596,123,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,You will find my comment trés interesting - böøm,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
67,customer067@nps-test.net,1366507205,John067,Smith067,Mr.,MD,C,EN,28,Hoyden,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,QLD,,CAMDEN PARK,,USD,Transactional,b2b,4597,44,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,No comment,2014-01-13 17:07:00,2014-01-07 12:12:00,N
68,customer068@nps-test.net,1366507205,John068,Smith068,Ms.,MD,C,EN,14,Exact Solutions,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,CA,,HERSTON,,AUD,Transactional,b2b,4598,55,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,Wonderful $34 to john@nps-test.net,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
69,customer069@nps-test.net,1366507205,John069,Smith069,Mr.,Director,C,EN,22,Sears Homelife,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,ACT,,ELABBIN,,AUD,Transactional,b2b,4599,12,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
70,customer070@nps-test.net,1366507205,John070,Smith070,Ms.,Director,C,EN,20,Food Giant,0,B,Robert Wiiliams,Robert.Williams@nps-test.net,US,NT,,COOLJARLOO,,AUD,Transactional,b2b,4600,155,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,N
71,customer071@nps-test.net,1366507205,John071,Smith071,Ms.,Manager,A,EN,29,Handyman,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,QLD,,LITTLE BILLABONG,,USD,Transactional,b2b,4601,144,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
72,customer072@nps-test.net,1366507205,John072,Smith072,Ms.,VP,B,EN,35,Tweeter,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,US,VIC,,EUMEMMERRING,,USD,Transactional,b2b,4602,233,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,"To be or not to be, that is the question.",2014-01-13 17:07:00,2014-01-07 12:12:00,Y
73,customer073@nps-test.net,1366507205,John073,Smith073,Mr.,Director,B,EN,11,Custom Sound,0,A,Peggy Tillman,Peggy.Tillman@nps-test.net,US,SA,,COOMBADJHA,,USD,Transactional,b2b,4603,49,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,Hello World!,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
74,customer074@nps-test.net,1366507205,John074,Smith074,Ms.,Manager,C,EN,14,Exact Solutions,0,A,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,WA,,BOORGANNA,,AUD,Transactional,b2b,4604,23,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,It's a nice day,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
75,customer075@nps-test.net,1366507205,John075,Smith075,Mr.,CFO,C,EN,21,Fireball,0,B,Freddie Magallenes,Freddie.Magallanes@nps-test.net,NL,SA,,SURREY HILLS,,USD,Transactional,b2b,4605,123,2014-01-02 21:00:00,marketing,,,,,Flight 1,9,You will find my comment trés interesting - böøm,2014-01-13 17:07:00,2014-01-07 12:12:00,Y
